Species3,Total.individuals,Female,Male,Unknown,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Mass,Inference,Traits.inferred,Reference.species
Touit dilectissimus,3,1,2,0,20.2,17.0,8.7,11.1,11.2,109.0,63.2,43.3,65.0,NO,NA,NA
Touit huetii,4,0,1,3,19.7,15.4,9.2,13.8,10.0,110.2,65.2,52.2,60.0,NO,NA,NA
Touit melanonotus,4,1,1,2,18.9,14.3,8.8,13.3,10.2,107.5,62.4,41.8,66.5,NO,NA,NA
Touit purpuratus,4,2,2,0,20.9,16.8,7.8,13.8,14.4,105.1,59.4,44.8,59.7,NO,NA,NA
Touit stictopterus,4,0,3,1,21.2,16.2,10.0,15.8,11.3,119.2,70.6,55.2,78.8,NO,NA,NA
Touit surdus,6,0,3,3,18.9,15.6,9.7,15.0,10.4,116.8,69.7,46.8,66.5,NO,NA,NA
Toxorhamphus iliolophus,4,2,2,0,19.2,11.8,3.3,3.2,18.2,60.2,50.0,32.1,11.0,NO,NA,NA
Toxorhamphus novaeguineae,4,2,2,0,27.8,19.2,4.0,3.9,15.6,62.5,51.0,38.1,11.8,NO,NA,NA
Toxorhamphus poliopterus,5,2,2,1,30.5,21.7,3.6,3.8,17.6,65.8,52.8,37.0,11.3,NO,NA,NA
Toxostoma bendirei,5,1,3,1,26.8,19.4,6.0,6.5,33.3,99.2,78.8,110.4,62.2,NO,NA,NA
Toxostoma cinereum,5,1,4,0,30.9,23.0,6.2,6.8,31.0,98.2,82.4,98.0,59.0,NO,NA,NA
Toxostoma crissale,4,2,2,0,32.1,22.3,5.8,6.2,29.2,101.0,81.5,100.0,62.7,NO,NA,NA
Toxostoma curvirostre,4,2,2,0,34.6,23.7,6.0,6.5,31.6,112.0,92.2,108.0,80.5,NO,NA,NA
Toxostoma guttatum,4,1,1,2,30.3,20.2,5.8,5.6,30.1,86.4,75.9,99.5,52.8,NO,NA,NA
Toxostoma lecontei,4,2,2,0,38.1,25.8,5.2,5.8,30.8,96.8,82.1,114.8,61.9,NO,NA,NA
Toxostoma longirostre,4,2,2,0,35.1,22.7,6.0,6.2,36.7,99.2,90.4,118.0,67.6,NO,NA,NA
Toxostoma ocellatum,5,1,3,1,37.4,26.8,6.8,7.1,37.3,104.0,96.2,136.4,84.3,NO,NA,NA
Toxostoma redivivum,5,2,2,1,40.5,30.5,6.4,7.0,36.3,102.0,92.4,132.2,84.4,NO,NA,NA
Toxostoma rufum,4,2,2,0,30.1,19.3,5.3,6.2,34.0,100.6,86.7,116.2,68.8,NO,NA,NA
Trachyphonus darnaudii,34,4,30,0,20.3,13.0,5.7,8.0,23.0,75.5,68.6,74.1,35.8,NO,NA,NA
Trachyphonus erythrocephalus,4,2,2,0,25.0,20.4,7.7,9.4,26.5,97.8,85.9,93.2,63.5,NO,NA,NA
Trachyphonus margaritatus,4,2,2,0,23.9,18.3,7.1,9.7,25.9,95.0,83.0,92.5,64.0,NO,NA,NA
Trachyphonus purpuratus,12,3,6,3,24.6,16.6,9.5,11.7,28.9,105.5,93.0,94.0,76.1,NO,NA,NA
Trachyphonus usambiro,14,2,12,0,22.0,14.6,5.9,7.7,23.2,83.1,72.4,70.8,35.8,NO,NA,NA
Trachyphonus vaillantii,4,2,2,0,23.6,16.5,8.7,10.8,26.9,101.5,87.2,90.2,69.4,NO,NA,NA
Tragopan blythii,4,2,2,0,29.7,15.4,9.9,10.9,74.6,246.8,207.0,186.8,1930.0,NO,NA,NA
Tragopan caboti,4,2,2,0,28.2,14.7,9.4,9.8,66.0,214.5,180.4,168.8,1122.5,NO,NA,NA
Tragopan melanocephalus,4,2,2,0,30.6,16.6,10.6,11.6,73.5,262.8,205.6,206.5,1613.2,NO,NA,NA
Tragopan satyra,4,2,2,0,31.0,15.1,8.9,9.8,73.4,246.2,191.0,206.8,1417.0,NO,NA,NA
Tragopan temminckii,4,2,2,0,25.6,14.7,9.8,10.4,70.7,237.5,192.3,186.8,1163.4,NO,NA,NA
Tregellasia capito,4,0,0,4,12.9,7.2,4.4,3.5,19.3,77.2,57.5,54.5,13.9,NO,NA,NA
Tregellasia leucops,4,2,2,0,13.8,8.0,4.5,4.0,17.9,74.2,58.2,48.2,15.6,NO,NA,NA
Treron apicauda,4,2,2,0,20.6,10.5,5.3,6.9,23.9,163.2,105.7,171.9,217.2,NO,NA,NA
Treron australis,5,3,2,0,20.8,11.4,5.5,6.4,24.7,171.0,109.3,87.0,229.0,NO,NA,NA
Treron bicinctus,8,2,6,0,17.9,9.7,4.9,5.5,20.9,156.8,97.0,87.6,174.0,NO,NA,NA
Treron calvus,12,5,4,3,22.7,11.3,6.3,7.2,22.8,164.0,102.3,94.5,197.5,NO,NA,NA
Treron capellei,4,2,2,0,33.7,18.0,8.6,10.6,23.6,193.2,128.4,109.2,401.3,NO,NA,NA
Treron curvirostra,8,4,4,0,19.5,11.9,5.9,7.3,19.7,136.1,88.6,71.6,134.4,NO,NA,NA
Treron floris,4,1,2,1,22.9,13.0,6.2,7.3,24.2,149.2,104.6,86.5,205.7,NO,NA,NA
Treron formosae,9,6,3,0,23.7,11.7,5.6,6.5,27.4,195.4,126.5,127.5,140.0,NO,NA,NA
Treron fulvicollis,4,2,2,0,19.5,9.6,4.5,5.0,18.6,143.0,95.4,78.8,167.0,NO,NA,NA
Treron griseicauda,4,3,1,0,20.1,11.2,5.5,7.3,23.8,146.5,96.7,82.2,205.7,NO,NA,NA
Treron olax,4,2,2,0,18.1,9.9,4.2,4.7,16.6,119.8,79.1,63.5,77.0,NO,NA,NA
Treron oxyurus,4,2,2,0,21.4,11.4,5.6,6.5,24.2,158.5,102.1,118.2,205.7,NO,NA,NA
Treron pembaensis,1,0,1,0,22.4,11.8,5.9,7.6,26.1,169.0,107.8,82.0,205.7,NO,NA,NA
Treron phoenicopterus,8,3,4,1,20.7,12.2,6.4,7.8,25.1,188.1,113.9,106.3,235.0,NO,NA,NA
Treron pompadora,24,11,12,1,20.6,11.0,5.1,6.2,23.8,155.8,98.8,81.4,234.0,NO,NA,NA
Treron psittaceus,4,1,2,1,22.6,11.8,6.0,7.4,25.5,165.8,111.3,98.2,205.7,NO,NA,NA
Treron sanctithomae,3,2,1,0,21.5,12.4,7.9,9.9,26.5,170.5,110.0,94.5,205.7,NO,NA,NA
Treron seimundi,4,2,2,0,20.3,10.9,5.9,6.7,20.8,153.5,101.5,135.5,157.8,NO,NA,NA
Treron sieboldii,4,2,2,0,21.5,10.7,5.0,5.4,23.5,189.8,116.0,116.2,245.0,NO,NA,NA
Treron sphenurus,8,4,4,0,20.2,10.3,5.2,5.2,21.4,173.1,108.2,116.4,210.0,NO,NA,NA
Treron teysmannii,4,2,2,0,23.0,11.9,6.1,8.0,26.0,157.8,105.6,86.5,205.7,NO,NA,NA
Treron vernans,4,2,2,0,19.5,9.2,4.7,5.2,19.2,135.5,91.2,76.5,132.0,NO,NA,NA
Treron waalia,4,2,2,0,20.4,10.9,6.1,7.0,25.0,179.0,112.8,101.5,254.0,NO,NA,NA
Trichastoma bicolor,12,1,2,9,19.1,11.6,4.8,4.8,29.8,84.1,75.0,64.8,27.2,NO,NA,NA
Trichastoma buettikoferi,4,1,3,0,15.8,8.7,3.8,4.0,25.5,65.8,59.9,52.0,17.1,NO,NA,NA
Trichastoma celebense,4,0,2,2,17.8,10.1,3.5,4.2,24.0,69.5,61.9,59.2,23.6,NO,NA,NA
Trichastoma pyrrogenys,5,2,3,0,16.2,9.0,4.1,3.7,26.6,64.9,56.0,54.5,23.2,NO,NA,NA
Trichastoma rostratum,5,2,2,1,18.0,10.7,3.8,3.7,23.4,69.8,60.7,43.7,17.8,NO,NA,NA
Trichastoma tickelli,4,2,2,0,15.4,8.3,3.0,3.7,25.8,61.0,55.1,50.2,17.1,NO,NA,NA
Trichixos pyrropygus,4,2,2,0,23.3,16.1,6.3,7.4,27.9,96.0,82.2,80.5,40.9,NO,NA,NA
Trichocichla rufa,2,0,1,1,19.1,9.8,4.2,3.9,30.1,73.8,66.0,77.5,26.0,NO,NA,NA
Trichodere cockerelli,4,2,2,0,20.1,9.7,2.8,3.4,19.2,71.0,60.2,59.5,14.7,NO,NA,NA
Trichoglossus chlorolepidotus,4,1,2,1,19.3,16.0,10.2,16.8,15.6,133.0,65.6,95.5,87.1,NO,NA,NA
Trichoglossus euteles,4,0,0,4,18.1,15.3,9.8,16.0,16.3,126.2,63.5,101.2,73.7,NO,NA,NA
Trichoglossus flavoviridis,8,2,1,5,19.6,15.5,9.0,14.6,13.2,110.6,58.6,71.8,90.5,NO,NA,NA
Trichoglossus haematodus,27,10,12,5,22.5,18.9,11.4,19.3,17.9,139.3,74.4,112.3,113.2,NO,NA,NA
Trichoglossus johnstoniae,9,4,5,0,17.0,14.2,8.8,14.3,14.4,106.1,60.1,65.3,55.2,NO,NA,NA
Trichoglossus ornatus,4,1,2,1,23.0,18.8,10.9,18.0,17.2,126.5,66.5,80.0,120.0,NO,NA,NA
Trichoglossus rubiginosus,4,1,2,1,21.8,18.5,10.8,17.9,17.3,142.0,81.2,93.2,77.5,NO,NA,NA
Tricholaema diademata,4,2,2,0,18.2,13.3,8.1,9.7,18.0,77.0,66.2,42.2,30.6,NO,NA,NA
Tricholaema frontata,4,2,2,0,17.1,12.7,8.4,9.2,18.5,77.0,63.2,48.0,26.8,NO,NA,NA
Tricholaema hirsuta,4,2,2,0,23.7,19.3,11.7,12.0,22.4,88.8,73.0,50.8,55.2,NO,NA,NA
Tricholaema lacrymosa,4,2,2,0,17.1,13.1,7.6,9.3,16.6,68.2,58.1,41.2,22.9,NO,NA,NA
Tricholaema leucomelas,4,2,2,0,19.0,13.6,8.7,10.5,20.6,79.0,66.2,44.0,32.2,NO,NA,NA
Tricholaema melanocephala,4,2,2,0,16.8,13.1,8.4,10.2,19.1,66.5,57.1,37.5,20.4,NO,NA,NA
Tricholestes criniger,9,2,2,5,15.6,10.2,3.9,4.0,15.4,73.0,61.8,62.2,17.1,NO,NA,NA
Trichothraupis melanops,8,3,4,1,16.0,9.7,5.3,6.0,20.1,79.8,63.8,73.2,22.6,NO,NA,NA
Triclaria malachitacea,4,0,1,3,30.3,23.2,13.8,23.6,15.2,159.0,110.6,113.8,90.0,NO,NA,NA
Trigonoceps occipitalis,4,2,2,0,71.5,49.3,23.8,33.7,114.1,614.2,349.2,248.0,3016.0,NO,NA,NA
Tringa erythropus,4,2,2,0,63.5,50.4,4.0,5.6,57.0,163.5,80.5,64.5,158.0,NO,NA,NA
Tringa flavipes,4,2,2,0,41.8,30.6,3.0,4.1,49.2,151.2,71.5,66.8,77.5,NO,NA,NA
Tringa glareola,4,2,2,0,32.6,24.3,2.8,3.9,35.2,127.8,65.5,48.8,62.0,NO,NA,NA
Tringa guttifer,4,2,2,0,57.4,40.6,4.8,5.9,42.9,171.2,79.0,61.0,158.0,NO,NA,NA
Tringa melanoleuca,4,2,2,0,59.9,45.9,4.8,6.0,60.5,194.5,96.9,79.8,161.7,NO,NA,NA
Tringa nebularia,4,2,2,0,65.4,42.9,4.1,6.1,57.4,186.0,88.2,76.0,187.0,NO,NA,NA
Tringa ochropus,4,2,2,0,37.1,27.6,2.7,4.0,32.6,138.0,74.8,56.0,71.4,NO,NA,NA
Tringa solitaria,4,2,2,0,32.7,25.4,2.7,3.9,29.1,128.5,64.6,51.9,48.4,NO,NA,NA
Tringa stagnatilis,4,2,2,0,42.1,32.1,2.8,3.3,49.7,133.0,64.1,55.5,77.5,NO,NA,NA
Tringa totanus,4,2,2,0,44.8,31.1,3.4,4.9,47.5,152.8,81.4,61.0,129.0,NO,NA,NA
Trochilus polytmus,4,2,2,0,22.2,17.7,2.2,1.9,5.7,57.8,20.8,43.2,4.8,NO,NA,NA
Trochilus scitulus,4,0,4,0,23.1,18.2,2.5,1.6,6.7,65.5,22.5,39.2,4.0,NO,NA,NA
Trochocercus cyanomelas,4,2,2,0,12.5,6.4,4.2,2.8,16.8,66.8,56.9,81.5,10.2,NO,NA,NA
Trochocercus nitens,5,2,2,1,13.4,7.5,5.0,3.1,14.5,64.3,55.6,68.5,11.8,NO,NA,NA
Troglodytes aedon,26,6,7,13,16.5,9.9,2.7,2.9,17.9,51.4,44.4,43.9,10.8,NO,NA,NA
Troglodytes cobbi,3,0,3,0,19.7,13.4,3.0,3.4,17.9,53.3,46.8,43.5,19.1,NO,NA,NA
Troglodytes monticola,4,2,2,0,14.4,9.3,2.2,3.0,19.8,53.8,48.0,41.3,10.1,NO,NA,NA
Troglodytes ochraceus,9,2,7,0,14.4,9.2,2.8,2.9,16.9,47.1,40.6,37.6,9.4,NO,NA,NA
Troglodytes rufociliatus,4,2,2,0,13.6,8.2,2.5,3.0,19.0,50.2,43.1,36.2,10.0,NO,NA,NA
Troglodytes rufulus,4,2,1,1,16.2,9.8,2.8,3.2,22.6,55.8,47.3,39.8,16.1,NO,NA,NA
Troglodytes sissonii,5,2,2,1,18.8,11.3,2.7,2.9,19.6,46.6,40.2,47.8,7.8,NO,NA,NA
Troglodytes solstitialis,25,0,6,19,16.3,9.3,3.1,3.0,19.0,48.7,41.8,40.2,11.4,NO,NA,NA
Troglodytes tanneri,4,2,2,0,17.9,11.2,2.9,3.6,20.9,57.8,49.4,47.8,10.1,NO,NA,NA
Troglodytes troglodytes,10,2,2,6,13.4,9.3,2.7,3.0,18.9,49.6,43.5,35.1,9.7,NO,NA,NA
Trogon aurantiiventris,4,2,2,0,18.5,11.4,8.9,9.6,14.9,126.8,78.3,117.0,65.4,NO,NA,NA
Trogon bairdii,4,2,2,0,24.3,16.0,9.6,12.2,13.6,147.5,93.9,153.0,94.4,NO,NA,NA
Trogon caligatus,4,2,2,0,17.8,11.1,8.6,8.4,12.2,114.8,71.6,112.8,46.5,NO,NA,NA
Trogon chionurus,4,2,2,0,24.4,14.6,11.0,10.7,14.4,132.8,85.9,141.8,89.7,NO,NA,NA
Trogon citreolus,4,2,2,0,19.6,12.4,8.1,10.0,15.8,132.8,87.2,143.2,79.0,NO,NA,NA
Trogon clathratus,4,1,3,0,24.0,15.2,10.6,12.7,15.9,160.0,100.6,169.8,130.0,NO,NA,NA
Trogon collaris,4,2,2,0,18.8,11.0,7.4,8.5,12.6,112.2,70.1,119.2,65.4,NO,NA,NA
Trogon comptus,4,2,2,0,25.2,16.2,9.8,13.4,14.8,153.6,102.2,151.0,114.0,NO,NA,NA
Trogon curucui,13,6,6,1,18.4,12.2,8.8,9.0,12.2,118.3,79.1,122.0,54.0,NO,NA,NA
Trogon elegans,8,4,4,0,19.7,12.3,9.0,10.0,14.3,130.7,79.1,160.6,70.9,NO,NA,NA
Trogon massena,4,2,2,0,28.1,17.4,13.2,13.7,17.2,174.0,111.2,154.1,141.0,NO,NA,NA
Trogon melanocephalus,4,2,2,0,20.8,13.8,8.2,11.4,13.2,144.4,92.9,144.0,85.1,NO,NA,NA
Trogon melanurus,8,4,4,0,24.1,15.5,10.1,13.3,13.7,150.2,98.5,141.9,114.0,NO,NA,NA
Trogon mesurus,4,2,2,0,24.3,14.5,10.1,11.7,15.4,153.5,104.8,156.2,114.0,NO,NA,NA
Trogon mexicanus,4,2,2,0,18.3,11.5,9.8,9.8,13.9,147.0,86.7,180.8,71.0,NO,NA,NA
Trogon personatus,5,2,2,1,18.9,11.7,8.4,8.7,14.5,122.8,76.3,165.2,63.4,NO,NA,NA
Trogon rufus,8,3,5,0,18.9,11.5,8.9,9.9,12.5,109.8,67.8,135.9,53.8,NO,NA,NA
Trogon surrucura,8,4,4,0,19.5,11.8,9.3,9.9,15.3,133.2,82.0,132.7,73.3,NO,NA,NA
Trogon violaceus,10,2,7,1,18.0,11.6,9.8,8.9,11.5,113.9,71.0,112.2,46.5,NO,NA,NA
Trogon viridis,10,4,5,1,22.5,15.0,10.0,11.7,13.8,144.5,96.6,159.1,89.7,NO,NA,NA
Tropicranus albocristatus,8,3,5,0,86.0,72.4,23.8,34.1,33.4,232.0,197.5,419.5,289.4,NO,NA,NA
Trugon terrestris,4,1,0,3,27.1,12.8,4.9,7.4,46.6,170.8,119.4,111.5,400.0,NO,NA,NA
Tryngites subruficollis,4,2,2,0,22.0,16.2,2.6,3.6,29.6,127.5,57.8,55.0,62.1,NO,NA,NA
Tumbezia salvini,4,1,3,0,14.5,8.9,4.6,3.7,18.5,67.0,54.5,61.5,12.2,NO,NA,NA
Turacoena manadensis,4,0,1,3,25.2,12.1,4.7,5.6,26.2,197.8,140.0,180.4,208.6,NO,NA,NA
Turacoena modesta,4,0,2,2,25.0,11.0,4.9,5.6,25.4,196.8,132.3,162.2,340.0,NO,NA,NA
Turdinus atrigularis,8,2,1,5,23.8,14.5,5.0,6.0,32.8,98.9,92.7,67.8,37.0,NO,NA,NA
Turdinus macrodactylus,4,2,2,0,20.9,12.7,4.2,5.8,28.5,88.2,80.2,57.7,48.7,NO,NA,NA
Turdinus marmorata,5,2,2,1,24.2,13.6,5.1,6.2,33.8,94.8,87.4,87.6,41.0,NO,NA,NA
Turdinus rufipectus,4,2,2,0,21.6,12.0,3.8,5.4,31.4,90.2,85.1,74.0,37.0,NO,NA,NA
Turdoides affinis,4,2,2,0,20.8,11.7,4.3,6.9,33.8,105.6,93.3,102.2,63.3,NO,NA,NA
Turdoides altirostris,4,2,2,0,21.0,14.7,4.2,6.3,27.4,73.5,66.4,100.5,33.0,NO,NA,NA
Turdoides aylmeri,4,2,2,0,18.8,12.5,3.5,5.2,23.3,73.0,68.2,114.2,35.3,NO,NA,NA
Turdoides bicolor,4,2,2,0,29.4,16.3,4.8,7.1,32.6,108.0,94.6,116.5,78.3,NO,NA,NA
Turdoides caudata,8,4,4,0,19.5,12.8,4.1,5.6,25.7,80.6,71.3,106.9,39.1,NO,NA,NA
Turdoides earlei,4,2,2,0,21.1,13.5,4.0,5.8,29.5,86.8,77.4,111.2,47.0,NO,NA,NA
Turdoides fulva,4,2,2,0,23.2,14.4,4.5,6.3,28.6,96.2,85.1,125.2,61.4,NO,NA,NA
Turdoides gularis,4,2,2,0,21.2,12.9,4.1,6.1,28.5,88.0,79.9,148.0,45.5,NO,NA,NA
Turdoides gymnogenys,4,2,2,0,25.2,14.7,4.5,6.6,32.5,109.1,93.8,101.0,77.0,NO,NA,NA
Turdoides hartlaubii,4,2,2,0,22.4,13.4,4.4,6.9,35.6,111.9,100.3,114.8,86.2,NO,NA,NA
Turdoides hindei,4,2,2,0,23.7,12.8,4.2,6.6,33.2,100.8,91.2,108.8,67.6,NO,NA,NA
Turdoides hypoleuca,4,2,2,0,21.7,11.9,4.0,6.8,31.9,104.4,94.6,105.9,74.0,NO,NA,NA
Turdoides jardineii,4,2,2,0,24.8,14.5,4.9,7.0,32.0,107.0,95.7,105.2,78.2,NO,NA,NA
Turdoides leucocephala,4,2,2,0,23.3,13.5,4.6,6.4,31.4,104.4,93.1,107.2,63.3,NO,NA,NA
Turdoides leucopygia,4,2,2,0,26.2,15.0,4.6,7.0,34.2,114.9,103.1,110.0,82.4,NO,NA,NA
Turdoides longirostris,4,2,2,0,20.3,13.0,3.5,5.7,27.4,73.8,68.8,110.2,35.0,NO,NA,NA
Turdoides malcolmi,4,2,2,0,21.0,13.4,4.6,7.6,30.8,115.0,97.4,136.8,75.7,NO,NA,NA
Turdoides melanops,4,0,1,3,27.8,16.2,5.0,6.6,33.4,109.8,99.3,118.0,77.0,NO,NA,NA
Turdoides nipalensis,4,1,0,3,23.9,14.2,4.4,6.3,29.3,82.5,77.8,112.5,61.0,NO,NA,NA
Turdoides plebejus,4,2,2,0,23.5,12.9,4.8,6.6,32.6,109.8,96.7,106.9,62.5,NO,NA,NA
Turdoides reinwardii,4,2,2,0,25.7,14.6,5.0,6.7,33.8,117.2,104.3,116.0,78.8,NO,NA,NA
Turdoides rubiginosa,4,2,2,0,18.4,11.3,3.6,5.5,26.8,82.8,77.1,104.5,40.6,NO,NA,NA
Turdoides rufescens,4,2,2,0,22.6,12.5,4.6,7.4,32.3,95.8,88.5,114.8,63.3,NO,NA,NA
Turdoides sharpei,4,2,2,0,22.4,12.6,4.3,6.3,35.5,111.5,101.3,108.1,79.3,NO,NA,NA
Turdoides squamiceps,4,2,2,0,25.3,15.5,4.2,6.8,30.4,110.0,96.7,141.5,72.9,NO,NA,NA
Turdoides squamulata,3,0,0,3,22.8,12.8,4.6,7.0,30.5,102.2,94.0,100.7,69.4,NO,NA,NA
Turdoides striata,4,2,2,0,24.1,14.8,4.7,7.5,31.8,100.8,91.2,101.8,66.0,NO,NA,NA
Turdoides subrufa,4,2,2,0,20.4,12.1,4.6,7.1,32.4,89.8,83.4,110.0,66.7,NO,NA,NA
Turdoides tenebrosa,4,2,2,0,23.3,13.3,4.3,6.2,33.0,118.6,105.3,118.5,76.0,NO,NA,NA
Turdus albicollis,23,7,12,4,21.1,10.9,4.6,5.7,28.5,106.9,83.4,87.8,54.0,NO,NA,NA
Turdus albocinctus,4,2,2,0,26.7,15.8,5.2,6.8,31.9,134.8,101.2,106.2,99.4,NO,NA,NA
Turdus amaurochalinus,18,4,3,11,21.6,13.0,5.0,6.1,30.5,112.0,86.4,91.4,57.9,NO,NA,NA
Turdus assimilis,10,6,4,0,23.4,13.4,5.1,6.4,29.5,119.7,91.2,101.6,70.2,NO,NA,NA
Turdus aurantius,5,2,2,1,25.7,15.7,5.6,7.2,37.8,117.0,93.5,93.2,81.9,NO,NA,NA
Turdus bewsheri,4,0,4,0,22.8,14.1,5.3,6.5,38.0,106.2,87.2,78.5,63.3,NO,NA,NA
Turdus boulboul,4,2,2,0,25.5,15.1,5.3,6.4,32.4,144.4,106.2,113.9,97.1,NO,NA,NA
Turdus cardis,4,2,2,0,22.2,12.5,4.6,6.0,28.7,111.8,79.2,76.4,58.9,NO,NA,NA
Turdus celaenops,4,2,2,0,24.8,13.8,5.1,6.6,32.5,116.0,87.7,88.5,84.5,NO,NA,NA
Turdus chiguanco,13,3,2,8,28.1,17.0,5.8,7.4,38.9,134.0,102.6,121.1,93.3,NO,NA,NA
Turdus chrysolaus,4,2,2,0,22.5,13.6,4.9,6.0,31.0,120.6,81.0,89.5,65.4,NO,NA,NA
Turdus daguae,4,2,2,0,19.9,11.3,5.3,6.0,26.4,106.5,83.3,77.8,58.5,NO,NA,NA
Turdus dissimilis,4,2,2,0,22.3,14.0,5.6,6.6,26.9,118.0,85.5,72.8,75.0,NO,NA,NA
Turdus falcklandii,5,1,2,2,27.6,17.6,6.4,7.9,39.7,137.4,100.0,104.6,93.9,NO,NA,NA
Turdus feae,4,3,1,0,22.2,12.2,4.4,5.7,29.8,123.6,82.8,92.2,71.0,NO,NA,NA
Turdus flavipes,4,0,3,1,20.6,11.0,5.0,5.7,26.2,108.5,78.5,83.0,65.1,NO,NA,NA
Turdus fulviventris,4,1,0,3,24.6,15.1,5.3,7.0,33.5,124.5,100.1,98.5,70.0,NO,NA,NA
Turdus fumigatus,10,4,4,2,24.1,13.8,5.0,6.7,31.7,112.4,87.1,93.0,75.7,NO,NA,NA
Turdus fuscater,14,4,8,2,29.9,17.0,6.6,8.0,45.5,153.2,124.0,146.2,143.0,NO,NA,NA
Turdus grayi,14,4,7,3,22.6,13.8,5.3,6.4,30.9,119.0,92.2,104.9,79.5,NO,NA,NA
Turdus haplochrous,2,1,1,0,24.0,13.3,5.3,6.7,32.1,111.2,90.4,94.2,84.0,NO,NA,NA
Turdus hauxwelli,13,2,2,9,23.3,13.3,5.2,6.0,30.2,112.8,87.2,85.8,69.0,NO,NA,NA
Turdus helleri,3,0,3,0,24.3,14.0,5.1,6.9,30.0,116.0,96.4,89.8,68.7,NO,NA,NA
Turdus hortulorum,4,2,2,0,20.9,12.6,4.8,5.9,30.8,113.5,81.0,84.8,66.7,NO,NA,NA
Turdus ignobilis,6,2,2,2,21.5,12.8,5.1,6.2,31.6,113.1,88.9,93.5,63.8,NO,NA,NA
Turdus iliacus,8,4,4,0,21.4,12.2,4.3,5.4,27.0,115.0,74.8,75.2,61.2,NO,NA,NA
Turdus infuscatus,10,1,9,0,22.0,12.1,5.2,6.1,29.7,122.5,91.7,104.2,72.4,NO,NA,NA
Turdus jamaicensis,5,0,3,2,20.7,12.3,5.0,5.8,34.5,115.5,91.1,90.0,59.1,NO,NA,NA
Turdus kessleri,4,2,2,0,25.5,13.9,5.4,6.6,35.9,149.4,106.3,125.4,76.3,NO,NA,NA
Turdus lawrencii,4,3,1,0,21.2,12.8,5.4,6.1,26.6,114.2,81.5,76.5,72.6,NO,NA,NA
Turdus leucomelas,16,9,6,1,21.9,13.4,5.3,5.9,31.1,107.2,81.5,90.5,69.1,NO,NA,NA
Turdus leucops,5,2,2,1,23.7,12.6,5.3,5.9,28.2,119.2,88.7,87.8,62.4,NO,NA,NA
Turdus lherminieri,3,0,3,0,27.0,17.8,6.9,7.9,42.1,123.7,95.6,80.0,105.0,NO,NA,NA
Turdus libonyanus,4,2,2,0,23.2,14.1,4.9,6.5,30.6,114.8,88.0,93.8,60.6,NO,NA,NA
Turdus ludoviciae,4,2,2,0,22.6,12.9,4.5,6.0,28.5,111.5,90.0,95.5,62.0,NO,NA,NA
Turdus maculirostris,7,3,4,0,21.6,13.3,4.9,6.1,30.3,111.4,91.8,99.6,69.6,NO,NA,NA
Turdus maranonicus,4,2,1,1,24.9,14.9,5.9,6.1,31.8,116.0,92.8,88.5,70.0,NO,NA,NA
Turdus menachensis,4,2,2,0,25.9,15.6,5.2,7.6,30.3,117.9,95.0,111.2,75.4,NO,NA,NA
Turdus merula,12,5,7,0,25.7,15.1,5.5,7.2,33.8,138.7,106.0,114.6,102.7,NO,NA,NA
Turdus migratorius,4,2,2,0,20.6,12.5,5.8,7.1,33.6,124.2,86.0,91.2,78.5,NO,NA,NA
Turdus mupinensis,4,2,2,0,21.6,11.9,4.9,5.8,34.4,116.8,86.3,93.8,62.5,NO,NA,NA
Turdus naumanni,8,4,4,0,21.6,12.4,4.6,5.6,30.7,127.1,85.6,89.2,73.2,NO,NA,NA
Turdus nigrescens,10,2,8,0,23.1,14.6,6.3,7.0,36.3,139.2,101.9,123.6,96.0,NO,NA,NA
Turdus nigriceps,5,0,4,1,22.0,12.9,4.9,5.5,30.2,107.6,82.2,80.6,52.7,NO,NA,NA
Turdus nudigenis,4,2,2,0,22.9,13.2,5.0,6.3,31.3,111.0,88.8,90.0,63.9,NO,NA,NA
Turdus obscurus,4,2,2,0,20.6,11.8,4.4,5.6,29.3,117.4,77.3,80.4,62.6,NO,NA,NA
Turdus obsoletus,7,4,3,0,22.2,13.0,5.0,6.5,28.4,116.0,88.4,86.1,74.8,NO,NA,NA
Turdus olivaceofuscus,5,3,2,0,26.4,15.7,6.0,7.5,37.9,123.5,99.3,90.2,87.0,NO,NA,NA
Turdus olivaceus,12,6,6,0,24.0,14.4,5.1,6.7,31.9,115.7,91.7,95.0,67.3,NO,NA,NA
Turdus olivater,7,3,4,0,24.2,14.5,5.5,6.9,31.5,113.6,89.8,97.9,86.6,NO,NA,NA
Turdus pallidus,4,2,2,0,23.0,14.1,4.8,6.2,31.4,126.5,86.3,95.2,72.1,NO,NA,NA
Turdus pelios,4,2,2,0,21.8,13.1,5.1,6.3,31.5,113.8,87.6,93.9,65.4,NO,NA,NA
Turdus philomelos,4,2,2,0,20.4,11.9,4.7,5.6,31.1,112.0,77.8,84.8,67.7,NO,NA,NA
Turdus pilaris,4,2,2,0,21.8,12.8,5.6,6.5,32.0,136.9,92.3,102.6,106.0,NO,NA,NA
Turdus plebejus,4,0,4,0,29.7,13.9,4.9,6.6,33.1,136.6,98.9,97.0,86.3,NO,NA,NA
Turdus plumbeus,4,2,2,0,32.8,16.8,5.5,6.1,35.9,117.0,91.2,109.5,75.3,NO,NA,NA
